stock_id,liquidity_regime,n_time_ids,ols_median_QLIKE,ols_median_MSE,ols_mean_beta_d,ols_mean_beta_w,ols_mean_beta_m,ols_mean_r2,wls_median_QLIKE,wls_median_MSE,wls_mean_beta_d,wls_mean_beta_w,wls_mean_beta_m,wls_mean_r2,winner,median_QLIKE,median_MSE
75,illiquid,1796,-5.317195033845271,3.428182753974836e-07,0.1301819007346589,0.2574806203168506,-1.3591645203766145,0.2391586096682923,-5.309091086246126,3.38160768643536e-07,0.1117533136976444,0.1792312995164689,-1.300164625254247,0.2363749851065356,OLS,-5.317195033845271,3.38160768643536e-07
76,mixed,3830,-6.128227130595867,2.2683558729684197e-08,0.1380299398114714,0.3016077163696223,-1.4037112059138104,0.2416265155982947,-6.124333277021872,2.257226354061756e-08,0.1185720475592056,0.2211517897084739,-1.32976317777448,0.2410315107070168,OLS,-6.128227130595867,2.257226354061756e-08
82,mixed,3757,-6.412598707640418,2.7760420208365817e-08,0.0869857982024072,0.1828200887817976,-1.2753423821010337,0.2267731335512967,-6.414166415697147,2.673565964028096e-08,0.0689220003288801,0.1018945822665885,-1.2106306491243797,0.226433390086984,WLS,-6.414166415697147,2.673565964028096e-08
88,illiquid,1691,-5.617731866484192,1.962884869508843e-07,0.1414758365875779,0.2356767681293177,-1.3077213256541176,0.2440868255345503,-5.618536578145849,1.8862058918827337e-07,0.1223528721647369,0.1574736289849324,-1.2395501093978432,0.2426111227440499,WLS,-5.618536578145849,1.8862058918827337e-07
89,mixed,3766,-6.377752055345384,2.8385857024679964e-08,0.0991736679120289,0.1858297013861007,-1.2624854230930935,0.2320825583631723,-6.371459567110171,2.829010712670353e-08,0.081552676322515,0.1120042614910247,-1.208866400174234,0.2322397002039461,OLS,-6.377752055345384,2.829010712670353e-08
90,illiquid,1869,-5.5661149617847165,1.7025774624352437e-07,0.125039576232466,0.2214556640376857,-1.362591400435149,0.2350985609478687,-5.560461862853661,1.7678761335318757e-07,0.106625434416156,0.1285083702559115,-1.2727333731633308,0.2337879390636249,OLS,-5.5661149617847165,1.7025774624352437e-07
93,liquid,1914,-7.042929975815287,4.038853596857642e-09,0.1115286812065812,0.2300912299160717,-1.3461932254422615,0.2338186397653474,-7.044477953440648,3.90103172664614e-09,0.0917729058376806,0.137754633205821,-1.254642109538526,0.2324571308175205,WLS,-7.044477953440648,3.90103172664614e-09
96,mixed,3830,-6.064419585400515,2.440948162633322e-08,0.1070540616987556,0.2173478946860688,-1.2724014382975857,0.2330787190546729,-6.062752148775624,2.4916627120358155e-08,0.0888202064160652,0.1248465971090865,-1.1790361824768103,0.2321592055867379,OLS,-6.064419585400515,2.440948162633322e-08
97,illiquid,1881,-5.340734651083608,2.49707038781748e-07,0.1272011039985593,0.253253269166469,-1.3598232641863983,0.2350823821183881,-5.337944862960748,2.461801228744609e-07,0.1089862636150848,0.1762061581116849,-1.2931557528721482,0.2343191266347864,OLS,-5.340734651083608,2.461801228744609e-07
98,illiquid,1798,-5.718057928966972,1.7816846428577716e-07,0.1274006544265387,0.2472036949810966,-1.3877485771295728,0.2391764318077455,-5.715988347308848,1.7392427290485597e-07,0.109643894147584,0.1565855413710754,-1.3101035543408923,0.2378932762512346,OLS,-5.718057928966972,1.7392427290485597e-07
